name,realizable,ltl_model_build_time,model_build_time,composition_time,synthesis_time,diagnosis_time,alphabet_size,guarantees_count,assumptions_count,plant_states,plant_transitions,plant_controllable_transitions,plant_controllable_options,minimization_states,minimization_transitions,minimization_controllable_transitions,minimization_controllable_options,search_method,diagnosis_steps
airport.tower.5.1.removed.safety,false,0.000001,0.030942,0.000000,0.000000,0.013645,33,1,1,1392,415,10,415,1392,8,2,8,DD,9
airport.tower.5.2.removed.safety,false,0.000000,0.237768,0.000000,0.000000,0.045852,38,1,1,4698,425,20,420,4698,10,4,9,DD,9
airport.tower.5.3.removed.safety,false,0.000000,1.576910,0.000000,0.000000,0.102614,43,1,1,11904,435,30,425,11904,5,0,5,DD,9
airport.tower.6.1.removed.safety,false,0.000001,0.202236,0.000000,0.000000,0.046653,39,1,1,4480,1074,12,1074,4480,9,2,9,DD,11
airport.tower.6.2.removed.safety,false,0.000000,2.639249,0.000000,0.000000,0.227209,45,1,1,21303,1086,24,1080,21303,11,4,10,DD,11
airport.tower.6.3.removed.safety,false,0.000000,23.270285,0.000000,0.000000,0.912761,51,1,1,68608,1098,36,1086,68608,6,0,6,DD,11
bidding.workflow.1.1.removed.safety,false,0.000000,0.000545,0.000000,0.000000,0.002354,7,1,1,10,17,4,16,10,6,2,6,DD,4
bidding.workflow.2.1.removed.safety,false,0.000001,0.000766,0.000000,0.000000,0.019263,10,1,2,41,55,8,53,41,16,4,15,DD,13
bidding.workflow.3.1.removed.safety,false,0.000000,0.001156,0.000000,0.000000,0.077643,13,1,3,193,214,29,200,193,76,18,68,DD,27
bidding.workflow.4.1.removed.safety,false,0.000001,0.003142,0.000000,0.000000,0.019312,16,1,4,703,580,82,533,703,216,52,188,DD,9
bidding.workflow.5.1.removed.safety,false,0.000000,0.012696,0.000000,0.000000,0.049971,19,1,5,2485,1468,214,1329,2485,560,136,476,DD,11
transfer.line.2.1.removed.safety,false,0.000001,0.001562,0.000000,0.000000,0.015517,12,1,2,507,1872,459,1758,507,1,0,1,DD,12
transfer.line.2.2.removed.safety,false,0.000000,0.003223,0.000000,0.000000,0.031937,12,1,2,1184,4853,1425,4413,1184,1,0,1,DD,13
transfer.line.3.1.removed.safety,false,0.000000,0.017517,0.000000,0.000000,0.187692,15,1,3,5723,28225,7082,25622,5723,1,0,1,DD,16
transfer.line.3.2.removed.safety,false,0.000000,0.082217,0.000000,0.000000,0.790119,15,1,3,20176,113282,33097,98451,20176,1,0,1,DD,18
transfer.line.4.1.removed.safety,false,0.000000,0.412191,0.000000,0.000000,5.116561,18,1,4,64193,399017,100180,353475,64193,2,0,2,DD,19
transfer.line.4.2.removed.safety,false,0.000000,8.926050,0.000000,0.000000,77.507921,18,1,4,344746,2471719,716556,2081546,344746,2,0,2,DD,22
travel.agency.2.1.removed.safety,false,0.000000,0.002294,0.000000,0.000000,0.003769,30,1,1,202,201,98,130,202,2,0,2,DD,5
travel.agency.2.2.removed.safety,false,0.000001,0.002321,0.000000,0.000000,0.004683,32,1,1,234,219,98,148,234,126,58,84,DD,6
travel.agency.2.3.removed.safety,false,0.000000,0.170605,0.000000,0.000000,0.004498,34,1,1,266,237,98,166,266,73,28,53,DD,6
travel.agency.3.1.removed.safety,false,0.000000,0.017268,0.000000,0.000000,0.013618,43,1,1,1392,973,560,534,1392,2,0,2,DD,6
travel.agency.3.2.removed.safety,false,0.000000,0.019213,0.000000,0.000000,0.018096,46,1,1,1620,1015,560,576,1620,490,278,276,DD,7
travel.agency.3.3.removed.safety,false,0.000000,0.021104,0.000000,0.000000,0.017181,49,1,1,1848,1057,560,618,1848,234,120,142,DD,7
travel.agency.4.1.removed.safety,false,0.000000,0.404497,0.000000,0.000000,0.089224,56,1,1,9722,4765,2928,2354,9722,2,0,2,DD,7
travel.agency.4.2.removed.safety,false,0.000000,0.441469,0.000000,0.000000,0.186202,60,1,1,11322,4855,2928,2444,11322,2377,1448,1197,DD,8
travel.agency.4.3.removed.safety,false,0.000001,0.475630,0.000000,0.000000,0.121334,64,1,1,12922,4945,2928,2534,12922,1590,913,847,DD,8
travel.agency.5.1.removed.safety,false,0.000000,12.126036,0.000000,0.000000,0.865781,69,1,1,68032,23005,14480,10666,68032,2,0,2,DD,8
travel.agency.5.2.removed.safety,false,0.000000,13.385555,0.000000,0.000000,1.000071,74,1,1,79236,23191,14480,10852,79236,11434,7139,5397,DD,9
travel.agency.5.3.removed.safety,false,0.000000,14.413837,0.000000,0.000000,1.030602,79,1,1,90440,23377,14480,11038,90440,7660,4609,3773,DD,9
dining.philosophers.2.1.removed.safety,false,0.000001,0.001196,0.000000,0.000000,0.001295,15,1,0,96,64,24,52,96,62,24,50,DD,2
dining.philosophers.2.2.removed.safety,false,0.000001,0.001270,0.000000,0.000000,0.001379,15,1,0,132,80,24,68,132,78,24,66,DD,2
dining.philosophers.2.3.removed.safety,false,0.000000,0.001354,0.000000,0.000000,0.001425,15,1,0,176,96,24,84,176,94,24,82,DD,2
dining.philosophers.2.4.removed.safety,false,0.000000,0.001474,0.000000,0.000000,0.001846,15,1,0,228,112,24,100,228,110,24,98,DD,2
dining.philosophers.3.1.removed.safety,false,0.000000,0.225483,0.000000,0.000000,0.121494,28,1,0,13824,1887,675,1337,13824,483,231,297,DD,9
dining.philosophers.3.2.removed.safety,false,0.000000,0.449226,0.000000,0.000000,0.178760,28,1,0,21952,2337,675,1787,21952,598,259,390,DD,10
dining.philosophers.3.3.removed.safety,false,0.000001,0.847860,0.000000,0.000000,0.251372,28,1,0,32768,2787,675,2237,32768,805,321,547,DD,11
dining.philosophers.3.4.removed.safety,false,0.000000,1.492888,0.000000,0.000000,0.395614,28,1,0,46656,3237,675,2687,46656,627,231,441,DD,11
